V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Outcome
540,0,0,162,26244,239,2.5,1040,676,28,GA,79.99
540,0,0,162,26244,309,2.5,1055,676,28,GLM,61.89
332.5,142.5,0,228,51984,93,0,932,594,270,GLM,40.27
332.5,142.5,0,228,51984,308,0,932,594,365,GLM,41.05
198.6,132.4,0,192,36864,158,0,978.4,825.5,360,GLM,44.3
266,114,0,228,51984,30,0,932,670,90,GA,47.03
380,95,0,228,51984,246,0,932,594,365,GA,43.7
380,95,0,228,51984,192,0,932,594,28,GLM,36.45
266,114,0,228,51984,328,0,932,670,28,GLM,45.85
475,0,0,228,51984,81,0,932,594,28,GA,39.29
198.6,132.4,0,192,36864,241,0,978.4,825.5,90,GLM,38.07
198.6,132.4,0,192,36864,72,0,978.4,825.5,28,GLM,28.02
427.5,47.5,0,228,51984,171,0,932,594,-99999,GLM,43.01
190,190,0,228,51984,248,0,932,670,90,GA,42.33
304,76,0,228,51984,308,0,932,670,28,GA,47.81
380,0,0,228,51984,320,0,932,670,90,GA,52.91
139.6,209.4,0,192,36864,199,0,1047,806.9,90,GLM,39.36
342,38,0,228,51984,155,0,932,670,365,GLM,56.14
380,95,0,228,51984,148,0,932,594,90,GLM,40.56
475,0,0,228,51984,190,0,932,594,180,GA,42.62
427.5,47.5,0,228,51984,307,0,932,594,180,GA,41.84
139.6,209.4,0,192,36864,80,0,1047,806.9,28,GLM,28.24
139.6,209.4,0,192,36864,129,0,1047,806.9,3,GA,8.06
139.6,209.4,0,192,36864,145,0,1047,806.9,180,GLM,44.21
380,0,0,228,51984,133,0,932,670,365,GA,52.52
380,0,0,228,51984,91,0,932,670,270,GA,53.3
380,95,0,228,51984,40,0,932,594,270,GA,41.15
342,38,0,228,51984,207,0,932,670,180,GLM,52.12
427.5,47.5,0,228,51984,124,0,932,594,28,GLM,37.43
475,0,0,228,51984,15,0,932,594,7,GA,38.6
304,76,0,228,51984,33,0,932,670,365,GLM,55.26
266,114,0,228,51984,140,0,932,670,365,GLM,52.91
198.6,132.4,0,192,36864,23,0,978.4,825.5,180,GLM,41.72
475,0,0,228,51984,97,0,932,594,270,GA,42.13
190,190,0,228,51984,172,0,932,670,365,GA,53.69
,237.5,0,228,51984,277,0,932,594,270,GLM,38.41
237.5,237.5,0,228,51984,73,0,932,594,28,GA,30.08
332.5,142.5,0,228,51984,17,0,932,594,90,GA,37.72
475,0,0,228,51984,275,0,932,594,90,GA,42.23
237.5,237.5,0,228,51984,68,0,932,594,180,GLM,36.25
342,38,0,228,51984,311,0,932,670,90,GLM,50.46
427.5,47.5,0,228,51984,204,0,932,594,365,GLM,43.7
237.5,237.5,0,228,51984,333,0,932,594,365,GLM,39
380,0,0,228,51984,193,0,932,670,180,GLM,53.1
427.5,47.5,0,228,51984,161,0,932,594,90,GA,41.54
427.5,47.5,0,228,51984,276,0,932,594,7,GA,35.08
349,0,0,192,36864,262,0,1047,806.9,3,GA,15.05
380,95,0,228,51984,218,0,932,594,180,GA,40.76
237.5,237.5,0,228,51984,128,0,932,594,7,GLM,26.26
380,95,0,228,51984,87,0,932,594,7,GLM,32.82
332.5,142.5,0,228,51984,311,0,932,594,180,GLM,39.78
190,190,0,228,51984,122,0,932,670,180,GLM,46.93
237.5,237.5,0,228,51984,134,0,932,594,90,GLM,33.12
304,76,0,228,51984,76,0,932,670,90,GLM,49.19
139.6,209.4,0,192,36864,67,0,1047,806.9,7,GA,14.59
198.6,132.4,0,192,36864,223,0,978.4,825.5,7,GLM,14.64
475,0,0,228,51984,209,0,932,594,365,GLM,41.93
198.6,132.4,0,192,36864,42,0,978.4,825.5,3,GA,9.13
304,76,0,228,51984,206,0,932,670,180,GA,50.95
332.5,142.5,0,228,51984,152,0,932,594,28,GA,33.02
304,76,0,228,51984,203,0,932,670,270,GLM,54.38
266,114,0,228,51984,295,0,932,670,270,GLM,51.73
310,0,0,192,36864,206,0,971,850.6,3,GA,9.87
190,190,0,228,51984,281,0,932,670,270,GA,50.66
266,114,0,228,51984,74,0,932,670,180,GA,48.7
342,38,0,228,51984,178,0,932,670,270,GLM,55.06
139.6,209.4,0,192,36864,57,0,1047,806.9,360,GA,44.7
332.5,142.5,0,228,51984,252,0,932,594,7,GLM,30.28
190,190,0,228,51984,237,0,932,670,28,GA,40.86
485,0,0,146,21316,21,0,1120,800,28,GA,71.99
374,189.2,0,170.1,28934.01,162,10.1,926.1,756.7,3,GLM,34.4
313.3,262.2,0,175.5,30800.25,309,8.6,1046.9,611.8,3,GLM,28.8
425,106.3,0,153.5,23562.25,290,16.5,852.1,887.1,3,GLM,33.4
425,106.3,0,151.4,22921.96,312,18.6,936,803.7,3,GLM,36.3
375,93.8,0,126.6,16027.56,34,23.4,852.1,992.6,3,GA,29
475,118.8,0,181.1,32797.21,152,8.9,852.1,781.5,3,GLM,37.8
469,,0,137.8,18988.84,284,32.2,852.1,840.5,3,GLM,40.2
425,106.3,0,153.5,23562.25,292,16.5,852.1,887.1,3,GA,33.4
388.6,97.1,0,157.9,24932.41,256,12.1,852.1,925.7,3,GLM,28.1
531.3,0,0,141.8,20107.24,166,28.2,852.1,893.7,3,GLM,41.3
425,106.3,0,153.5,23562.25,133,16.5,852.1,887.1,3,GLM,33.4
318.8,212.5,0,155.7,24242.49,180,14.3,852.1,880.4,3,GA,25.2
401.8,94.7,0,147.4,21726.76,139,11.4,946.8,852.1,3,GLM,41.1
362.6,189,0,164.9,27192.01,306,11.6,944.7,755.8,3,GLM,35.3
323.7,282.8,0,183.8,33782.44,163,10.3,942.7,659.9,3,GA,28.3
379.5,151.2,0,153.9,23685.21,168,15.9,1134.3,605,3,GA,28.6
362.6,189,0,164.9,27192.01,301,11.6,944.7,755.8,3,GA,35.3
286.3,200.9,0,144.7,20938.09,81,11.2,1004.6,803.7,3,GA,24.4
362.6,189,0,164.9,27192.01,324,11.6,944.7,755.8,3,GLM,35.3
439,177,0,186,34596,250,11.1,884.9,707.9,3,GA,39.3
389.9,189,0,145.9,21286.81,259,22,944.7,755.8,3,GLM,40.6
362.6,189,0,164.9,27192.01,40,11.6,944.7,755.8,3,GLM,35.3
337.9,189,0,174.9,30590.01,285,9.5,944.7,755.8,3,GLM,24.1
374,189.2,0,170.1,28934.01,54,10.1,926.1,756.7,7,GLM,46.2
313.3,262.2,0,175.5,30800.25,301,8.6,1046.9,611.8,7,GLM,42.8
425,106.3,0,153.5,23562.25,155,16.5,852.1,887.1,7,GLM,49.2
425,106.3,0,151.4,22921.96,94,18.6,936,803.7,7,GLM,46.8
375,93.8,0,126.6,16027.56,215,23.4,852.1,992.6,7,GLM,45.7
475,118.8,0,181.1,32797.21,149,8.9,852.1,781.5,7,GLM,55.6
469,117.2,0,137.8,18988.84,94,32.2,852.1,840.5,7,GLM,54.9
425,106.3,0,153.5,23562.25,89,16.5,852.1,887.1,7,GA,49.2
388.6,97.1,0,157.9,24932.41,178,12.1,852.1,925.7,7,GLM,34.9
531.3,0,0,141.8,20107.24,146,28.2,852.1,893.7,7,GA,46.9
425,106.3,0,153.5,23562.25,61,16.5,852.1,887.1,7,GA,49.2
318.8,212.5,0,155.7,24242.49,131,14.3,852.1,880.4,7,GA,33.4
401.8,94.7,0,147.4,21726.76,313,11.4,946.8,852.1,7,GLM,54.1
362.6,189,0,164.9,27192.01,125,11.6,944.7,755.8,7,GLM,55.9
323.7,282.8,0,183.8,33782.44,119,10.3,942.7,659.9,7,GA,49.8
379.5,151.2,0,153.9,23685.21,315,15.9,1134.3,605,7,GLM,47.1
362.6,189,0,164.9,27192.01,71,11.6,944.7,755.8,7,GLM,55.9
286.3,200.9,0,144.7,20938.09,204,11.2,1004.6,803.7,7,GLM,38
362.6,189,0,164.9,27192.01,283,11.6,944.7,755.8,7,GLM,55.9
439,177,0,186,34596,43,11.1,884.9,707.9,7,GLM,56.1
389.9,189,0,145.9,21286.81,220,22,944.7,755.8,7,GA,59.09
362.6,189,0,164.9,27192.01,240,11.6,944.7,755.8,7,GLM,22.9
337.9,189,0,174.9,30590.01,275,9.5,944.7,755.8,7,GLM,35.1
374,189.2,0,170.1,28934.01,146,10.1,926.1,756.7,28,GLM,61.09
313.3,262.2,0,175.5,30800.25,59,8.6,1046.9,611.8,28,GLM,59.8
425,106.3,0,153.5,23562.25,15,16.5,852.1,887.1,28,GLM,60.29
425,106.3,0,151.4,22921.96,323,18.6,936,803.7,28,GA,61.8
375,93.8,0,126.6,16027.56,95,23.4,852.1,992.6,28,GA,56.7
475,118.8,0,181.1,32797.21,152,8.9,852.1,781.5,28,GLM,68.3
469,117.2,0,137.8,18988.84,298,32.2,852.1,840.5,28,GA,66.9
425,106.3,0,153.5,23562.25,318,16.5,852.1,887.1,28,GA,60.29
388.6,97.1,0,157.9,24932.41,228,12.1,852.1,925.7,28,GLM,50.7
531.3,0,0,141.8,20107.24,293,28.2,852.1,893.7,28,GLM,56.4
425,106.3,0,153.5,23562.25,49,16.5,852.1,887.1,28,GA,60.29
318.8,212.5,0,155.7,24242.49,130,14.3,852.1,880.4,28,GA,55.5
401.8,94.7,0,147.4,21726.76,190,11.4,946.8,852.1,28,GLM,68.5
362.6,189,0,164.9,27192.01,25,11.6,944.7,755.8,28,GLM,71.3
323.7,282.8,0,183.8,33782.44,72,10.3,942.7,659.9,28,GLM,74.7
379.5,151.2,0,153.9,23685.21,106,15.9,1134.3,605,28,GLM,52.2
362.6,189,0,164.9,27192.01,206,11.6,944.7,755.8,28,GLM,71.3
286.3,200.9,0,144.7,20938.09,299,11.2,1004.6,803.7,28,GA,67.7
362.6,189,0,164.9,27192.01,129,11.6,,755.8,28,GLM,71.3
439,177,0,186,34596,154,11.1,884.9,707.9,28,GLM,66
389.9,189,0,145.9,21286.81,176,22,944.7,755.8,28,GA,74.5
362.6,189,0,164.9,27192.01,181,11.6,944.7,755.8,28,GLM,71.3
337.9,189,0,174.9,30590.01,48,9.5,944.7,755.8,28,GLM,49.9
374,189.2,0,170.1,28934.01,267,10.1,926.1,756.7,56,GLM,63.4
313.3,262.2,0,175.5,30800.25,33,8.6,1046.9,611.8,56,GLM,64.9
425,106.3,0,153.5,23562.25,328,16.5,852.1,887.1,56,GLM,64.3
425,106.3,0,151.4,22921.96,301,18.6,936,803.7,56,GLM,64.9
375,93.8,0,126.6,16027.56,63,23.4,852.1,992.6,56,GLM,60.2
475,118.8,0,181.1,32797.21,165,8.9,852.1,781.5,56,GA,72.3
469,117.2,0,137.8,18988.84,287,32.2,852.1,840.5,56,GLM,69.3
425,106.3,0,153.5,23562.25,260,16.5,852.1,887.1,56,GLM,64.3
388.6,97.1,0,157.9,24932.41,276,12.1,852.1,925.7,56,GA,55.2
531.3,0,0,141.8,20107.24,272,28.2,852.1,893.7,56,GLM,58.8
425,106.3,0,153.5,23562.25,293,16.5,852.1,887.1,56,GA,64.3
318.8,212.5,0,155.7,24242.49,194,14.3,852.1,880.4,56,GA,66.1
401.8,94.7,0,147.4,21726.76,173,11.4,946.8,852.1,56,GA,73.7
362.6,189,0,164.9,27192.01,72,11.6,944.7,755.8,56,GLM,77.3
323.7,282.8,0,183.8,33782.44,163,10.3,942.7,659.9,56,GA,80.2
379.5,151.2,0,153.9,23685.21,200,15.9,1134.3,605,56,GLM,54.9
362.6,189,0,164.9,27192.01,302,11.6,944.7,755.8,56,GLM,77.3
286.3,200.9,0,144.7,20938.09,141,11.2,1004.6,803.7,56,GLM,72.99
362.6,189,0,164.9,27192.01,104,11.6,944.7,755.8,56,GLM,77.3
439,177,0,186,34596,163,11.1,884.9,707.9,56,GLM,71.7
389.9,189,0,145.9,21286.81,137,22,944.7,755.8,56,GA,79.4
362.6,189,0,164.9,27192.01,125,11.6,944.7,755.8,56,GA,77.3
337.9,189,0,174.9,30590.01,97,9.5,944.7,755.8,56,GLM,59.89
374,189.2,0,170.1,28934.01,159,10.1,926.1,756.7,91,GA,64.9
313.3,262.2,0,175.5,30800.25,220,8.6,1046.9,611.8,91,GLM,66.6
425,106.3,0,153.5,23562.25,151,16.5,852.1,887.1,91,GA,65.2
425,106.3,0,151.4,22921.96,239,18.6,936,803.7,91,GA,66.7
375,93.8,0,126.6,16027.56,34,23.4,852.1,992.6,91,GA,62.5
475,118.8,0,181.1,32797.21,304,8.9,852.1,781.5,91,GA,74.19
469,117.2,0,137.8,18988.84,220,32.2,852.1,840.5,91,GLM,70.7
425,106.3,0,153.5,23562.25,257,16.5,852.1,887.1,91,GA,65.2
388.6,97.1,0,157.9,24932.41,232,12.1,852.1,925.7,91,GLM,57.6
531.3,0,0,141.8,20107.24,183,28.2,852.1,893.7,91,GLM,59.2
425,106.3,0,153.5,23562.25,175,16.5,852.1,887.1,91,GLM,65.2
318.8,212.5,0,155.7,24242.49,114,14.3,852.1,,91,GLM,68.1
401.8,94.7,0,147.4,21726.76,102,11.4,946.8,852.1,91,GLM,75.5
362.6,189,0,164.9,27192.01,116,11.6,944.7,755.8,91,GA,79.3
379.5,151.2,0,153.9,23685.21,79,15.9,1134.3,605,91,GA,56.5
362.6,189,0,164.9,27192.01,72,11.6,944.7,755.8,91,GLM,79.3
286.3,200.9,0,144.7,20938.09,277,11.2,1004.6,803.7,91,GLM,76.8
362.6,189,0,164.9,27192.01,161,11.6,944.7,755.8,91,GA,79.3
439,177,0,186,34596,72,11.1,884.9,707.9,91,GA,73.3
389.9,189,0,145.9,21286.81,230,22,944.7,755.8,91,GLM,82.6
362.6,189,0,164.9,27192.01,144,11.6,944.7,755.8,91,GA,79.3
337.9,189,0,174.9,30590.01,322,9.5,944.7,755.8,91,GLM,67.8
222.4,0,96.7,189.3,35834.49,198,4.5,967.1,870.3,3,GLM,11.58
222.4,0,96.7,189.3,35834.49,101,4.5,967.1,870.3,14,GA,24.45
222.4,0,96.7,189.3,35834.49,289,4.5,967.1,870.3,28,GA,24.89
222.4,0,96.7,189.3,35834.49,116,4.5,967.1,870.3,56,GLM,29.45
222.4,0,96.7,189.3,35834.49,316,4.5,967.1,870.3,100,GLM,40.71
233.8,0,94.6,197.9,39164.41,79,4.6,947,852.2,3,GLM,10.38
233.8,0,94.6,197.9,39164.41,58,4.6,947,852.2,14,GA,22.14
233.8,0,94.6,197.9,39164.41,135,4.6,947,852.2,28,GLM,22.84
233.8,0,94.6,197.9,39164.41,212,4.6,947,852.2,56,GA,27.66
233.8,0,94.6,197.9,39164.41,190,4.6,947,852.2,100,GLM,34.56
194.7,0,100.5,165.6,27423.36,217,7.5,1006.4,905.9,3,GA,12.45
194.7,0,100.5,165.6,27423.36,257,7.5,1006.4,905.9,14,GLM,24.99
194.7,0,100.5,165.6,27423.36,115,7.5,1006.4,905.9,28,GA,25.72
194.7,0,100.5,165.6,27423.36,167,7.5,1006.4,905.9,56,GLM,33.96
194.7,0,100.5,165.6,27423.36,242,7.5,1006.4,905.9,100,GLM,37.34
190.7,0,125.4,162.1,26276.41,168,7.8,1090,804,3,GLM,15.04
190.7,0,125.4,162.1,26276.41,257,7.8,1090,804,14,GLM,21.06
190.7,0,125.4,162.1,26276.41,231,7.8,1090,804,28,GLM,26.4
190.7,0,125.4,162.1,26276.41,139,7.8,1090,804,56,GLM,35.34
190.7,0,125.4,162.1,26276.41,61,7.8,1090,804,100,GLM,40.57
212.1,0,121.6,180.3,32508.09,52,5.7,1057.6,779.3,3,GLM,12.47
212.1,0,121.6,180.3,32508.09,276,5.7,1057.6,779.3,14,GLM,20.92
212.1,0,121.6,180.3,32508.09,49,5.7,1057.6,779.3,28,GA,24.9
212.1,0,121.6,180.3,32508.09,250,5.7,1057.6,779.3,56,GLM,34.2
212.1,0,121.6,180.3,32508.09,191,5.7,1057.6,779.3,100,GLM,39.61
230,0,118.3,195.5,38220.25,120,4.6,1029.4,758.6,3,GLM,10.03
230,0,118.3,195.5,38220.25,268,4.6,1029.4,758.6,14,GLM,20.08
230,0,118.3,195.5,38220.25,187,4.6,1029.4,758.6,28,GLM,24.48
230,0,118.3,195.5,38220.25,168,4.6,1029.4,758.6,56,GLM,31.54
230,0,118.3,195.5,38220.25,134,4.6,1029.4,758.6,100,GA,35.34
190.3,0,125.2,161.9,26211.61,192,9.9,1088.1,802.6,3,GA,9.45
190.3,0,125.2,161.9,26211.61,193,9.9,1088.1,802.6,14,GA,22.72
190.3,0,125.2,161.9,26211.61,123,9.9,1088.1,802.6,28,GA,28.47
190.3,0,125.2,161.9,26211.61,314,9.9,1088.1,802.6,56,GLM,38.56
190.3,0,125.2,161.9,26211.61,100,9.9,1088.1,802.6,100,GLM,40.39
166.1,0,163.3,176.5,31152.25,42,4.5,1058.6,780.1,3,GLM,10.76
166.1,0,163.3,176.5,31152.25,247,4.5,1058.6,780.1,14,GA,25.48
166.1,0,163.3,176.5,31152.25,102,4.5,1058.6,780.1,28,GLM,21.54
166.1,0,163.3,176.5,31152.25,226,4.5,1058.6,780.1,56,GLM,28.63
166.1,0,163.3,176.5,31152.25,308,4.5,1058.6,780.1,100,GLM,33.54
168,42.1,163.8,121.8,14835.24,216,5.7,1058.7,780.1,3,GLM,7.75
168,42.1,163.8,121.8,14835.24,331,5.7,1058.7,780.1,14,GA,17.82
168,42.1,163.8,121.8,14835.24,179,5.7,1058.7,780.1,28,GA,24.24
168,42.1,163.8,121.8,14835.24,32,5.7,1058.7,780.1,,GLM,32.85
168,42.1,163.8,121.8,14835.24,141,5.7,1058.7,780.1,100,GA,39.23
213.7,98.1,24.5,181.7,33014.89,298,6.9,1065.8,785.4,3,GLM,18
213.7,98.1,24.5,181.7,33014.89,112,6.9,1065.8,785.4,14,GA,30.39
213.7,98.1,24.5,181.7,33014.89,47,6.9,1065.8,785.4,28,GLM,45.71
213.7,98.1,24.5,181.7,33014.89,172,6.9,1065.8,785.4,56,GA,50.77
213.7,98.1,24.5,181.7,33014.89,213,6.9,1065.8,785.4,100,GA,53.9
213.8,98.1,24.5,181.7,33014.89,268,6.7,1066,785.5,3,GLM,13.18
,98.1,24.5,181.7,33014.89,19,6.7,1066,785.5,14,GLM,17.84
213.8,98.1,24.5,181.7,33014.89,227,6.7,1066,785.5,28,GLM,40.23
213.8,98.1,24.5,181.7,33014.89,299,6.7,1066,785.5,56,GLM,47.13
213.8,98.1,24.5,181.7,33014.89,25,6.7,1066,785.5,100,GLM,49.97
229.7,0,118.2,195.2,38103.04,230,6.1,1028.1,757.6,3,GA,13.36
229.7,0,118.2,195.2,38103.04,48,6.1,1028.1,757.6,14,GLM,22.32
229.7,0,118.2,195.2,38103.04,211,6.1,1028.1,757.6,28,GLM,24.54
229.7,0,118.2,195.2,38103.04,76,6.1,1028.1,757.6,56,GA,31.35
229.7,0,118.2,195.2,38103.04,300,6.1,1028.1,757.6,100,GA,40.86
238.1,0,94.1,186.7,34856.89,113,7,949.9,847,3,GLM,19.93
238.1,0,94.1,186.7,34856.89,174,7,949.9,847,14,GLM,25.69
238.1,0,94.1,186.7,34856.89,240,7,949.9,847,28,GLM,30.23
238.1,0,94.1,186.7,34856.89,114,7,949.9,847,56,GA,39.59
238.1,0,94.1,186.7,34856.89,323,7,949.9,847,100,GA,44.3
250,0,95.7,187.4,35118.76,200,5.5,956.9,861.2,3,GLM,13.82
250,0,95.7,187.4,35118.76,207,5.5,956.9,861.2,14,GLM,24.92
250,0,95.7,187.4,35118.76,318,5.5,956.9,861.2,28,GLM,29.22
250,0,95.7,187.4,35118.76,118,5.5,956.9,861.2,56,GA,38.33
250,0,95.7,187.4,35118.76,101,5.5,956.9,861.2,100,GLM,42.35
212.5,0,100.4,159.3,25376.49,148,8.7,1007.8,903.6,3,GLM,13.54
212.5,0,100.4,159.3,25376.49,90,8.7,1007.8,903.6,14,GLM,26.31
